2026-03-17 10:22 UTC,USDCHF,12288,124466.89,True,200,"{'Bull Trend': 46, 'Bear Trend': 0, 'High Volatility Expansion': 0, 'Low Volatility Compression': 11479, 'Value Gap Formation': 0, 'Mean Reversion Range': 0, 'Noise': 728}",OK
2026-03-20 02:41 UTC,USDJPY,12236,7,123551.81,-3015404358.4,-3015405180.85,True,200,"{'Bull Trend': 9887, 'Bear Trend': 13, 'High Volatility Expansion': 128, 'Low Volatility Compression': 1258, 'Value Gap Formation': 12, 'Mean Reversion Range': 31, 'Noise': 874}","{3: np.float64(-2994434954.0), 4: np.float64(-3000653059.0), 5: np.float64(-3013698602.0), 6: np.float64(-2944911765.0), 7: np.float64(-3015404358.0), 8: np.float64(-2958048769.0), 9: np.float64(-3015025119.0), 10: np.float64(-3010103745.0)}",OK
2026-03-20 02:41 UTC,USDCHF,12264,8,126536.69,-3093820885.74,-3093821886.26,True,200,"{'Bull Trend': 46, 'Bear Trend': 13, 'High Volatility Expansion': 21, 'Low Volatility Compression': 1, 'Value Gap Formation': 69, 'Mean Reversion Range': 10167, 'Noise': 1249}","{3: np.float64(-3079266219.0), 4: np.float64(-3087667195.0), 5: np.float64(-3027508497.0), 6: np.float64(-3083414591.0), 7: np.float64(-3086863847.0), 8: np.float64(-3093820886.0), 9: np.float64(-3030464159.0), 10: np.float64(-3030388747.0)}",OK
2026-03-21 02:34 UTC,EURUSD,12299,7,128371.04,-3133279370.88,-3133280193.33,True,200,"{'Bull Trend': 363, 'Bear Trend': 10, 'High Volatility Expansion': 48, 'Low Volatility Compression': 9571, 'Value Gap Formation': 122, 'Mean Reversion Range': 593, 'Noise': 1497}","{3: np.float64(-3093816633.0), 4: np.float64(-3097001177.0), 5: np.float64(-3040484024.0), 6: np.float64(-3111217888.0), 7: np.float64(-3133279371.0), 8: np.float64(-3103399326.0), 9: np.float64(-3100567570.0), 10: np.float64(-3039316248.0)}",OK
2026-03-21 02:34 UTC,GBPUSD,12302,7,127611.59,-3113976866.75,-3113977689.18,True,200,"{'Bull Trend': 1, 'Bear Trend': 19, 'High Volatility Expansion': 27, 'Low Volatility Compression': 10541, 'Value Gap Formation': 89, 'Mean Reversion Range': 410, 'Noise': 1114}","{3: np.float64(-3107401997.0), 4: np.float64(-3050612149.0), 6: np.float64(-3112493272.0), 7: np.float64(-3113976867.0), 8: np.float64(-3051947328.0), 10: np.float64(-3048137214.0)}",OK
2026-03-21 02:34 UTC,USDJPY,12231,8,123395.48,-3010354875.37,-3010355875.59,True,200,"{'Bull Trend': 2, 'Bear Trend': 114, 'High Volatility Expansion': 12, 'Low Volatility Compression': 1, 'Value Gap Formation': 9, 'Mean Reversion Range': 10115, 'Noise': 1123}","{3: np.float64(-2991825243.0), 4: np.float64(-2996640582.0), 5: np.float64(-2995949135.0), 6: np.float64(-2995831912.0), 7: np.float64(-3009493006.0), 8: np.float64(-3010354875.0), 9: np.float64(-2900247803.0), 10: np.float64(-2958657918.0)}",OK
2026-03-21 02:34 UTC,USDCHF,12259,8,126094.7,-3081753242.53,-3081754242.99,True,200,"{'Bull Trend': 0, 'Bear Trend': 3, 'High Volatility Expansion': 7, 'Low Volatility Compression': 1, 'Value Gap Formation': 136, 'Mean Reversion Range': 10223, 'Noise': 1637}","{3: np.float64(-3076908138.0), 4: np.float64(-3028633283.0), 5: np.float64(-3025713810.0), 6: np.float64(-3030502793.0), 7: np.float64(-3033193517.0), 8: np.float64(-3081753243.0), 9: np.float64(-3027137750.0), 10: np.float64(-3024616085.0)}",OK
2026-03-23 02:51 UTC,EURUSD,12282,9,127202.03,-3100675108.74,-3100676301.46,True,200,"{'Bull Trend': 1, 'Bear Trend': 44, 'High Volatility Expansion': 4, 'Low Volatility Compression': 10785, 'Value Gap Formation': 49, 'Mean Reversion Range': 2, 'Noise': 815}","{3: np.float64(-3090615910.0), 4: np.float64(-3092837980.0), 5: np.float64(-3090374104.0), 6: np.float64(-3034013138.0), 7: np.float64(-3096802980.0), 8: np.float64(-3030019519.0), 9: np.float64(-3100675109.0), 10: np.float64(-3090869525.0)}",OK
2026-03-23 02:51 UTC,GBPUSD,12285,6,127353.51,-3103349486.04,-3103350145.34,True,200,"{'Bull Trend': 10022, 'Bear Trend': 31, 'High Volatility Expansion': 201, 'Low Volatility Compression': 1291, 'Value Gap Formation': 2, 'Mean Reversion Range': 637}","{3: np.float64(-3039997117.0), 4: np.float64(-3098820149.0), 5: np.float64(-3098601708.0), 6: np.float64(-3103349486.0), 7: np.float64(-3103134402.0), 8: np.float64(-3043743641.0), 9: np.float64(-3029082912.0), 10: np.float64(-3098754178.0)}",OK
2026-03-23 02:51 UTC,USDJPY,12215,7,123286.59,-3003506821.17,-3003507643.41,True,200,"{'Bull Trend': 5, 'Bear Trend': 9, 'High Volatility Expansion': 125, 'Low Volatility Compression': 9940, 'Value Gap Formation': 5, 'Mean Reversion Range': 843, 'Noise': 1254}","{3: np.float64(-2988433939.0), 4: np.float64(-3001726093.0), 5: np.float64(-3001644058.0), 6: np.float64(-2999581740.0), 7: np.float64(-3003506821.0), 8: np.float64(-3002471617.0), 9: np.float64(-2950827419.0)}",OK
2026-03-23 02:51 UTC,USDCHF,12242,6,126124.91,-3077951483.7,-3077952143.13,True,200,"{'Bull Trend': 1, 'Bear Trend': 182, 'High Volatility Expansion': 44, 'Low Volatility Compression': 9737, 'Value Gap Formation': 1893, 'Mean Reversion Range': 345}","{3: np.float64(-3067976796.0), 4: np.float64(-3076582690.0), 5: np.float64(-3024780699.0), 6: np.float64(-3077951484.0), 7: np.float64(-3022968139.0), 8: np.float64(-3070835250.0), 9: np.float64(-3066678834.0), 10: np.float64(-3023863933.0)}",OK
